title,street,city,state,phone,website,category,segment,use_case_en,use_case_es
Moye Elementary School,4825 Alps Dr,El Paso,Texas,(915) 230-5300,http://moye.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Harmony School Of Innovation - El Paso Elementary,5210 Fairbanks Dr,El Paso,Texas,(915) 757-2929,https://hsielpaso.harmonytx.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Travis Elementary School,5000 N Stevens St,El Paso,Texas,(915) 236-6200,http://travis.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
J.M. Whitaker Elementary School,4700 Rutherford Dr,El Paso,Texas,(915) 236-6275,http://whitaker.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Logan Elementary School,3200 Ellerthorpe Ave,El Paso,Texas,(915) 236-5750,http://logan.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Edgar Park Elementary School,3601 Edgar Park Ave,El Paso,Texas,(915) 236-5975,http://park.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Polk Elementary School,940 Belvidere St,El Paso,Texas,(915) 236-2775,https://www.episd.org/polk,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Tippin Elementary School,6541 Bear Ridge Dr,El Paso,Texas,(915) 230-5150,https://www.episd.org/o/tes,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Carlos Rivera Elementary School,6445 Escondido Dr,El Paso,Texas,(915) 236-3700,http://rivera.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Dr. Joseph Torres Elementary School,10700 Rushing Rd,El Paso,Texas,(915) 236-5225,https://www.episd.org/torres,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Western Hills Elementary School,530 Thunderbird Dr,El Paso,Texas,(915) 236-3850,http://westernhills.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Transmountain Early College High School,9570 Gateway Blvd N,El Paso,Texas,(915) 236-5000,https://www.episd.org/tmechs,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
IDEA Mesa Hills,405 Wallenberg Dr,El Paso,Texas,(915) 888-4050,https://ideapublicschools.org/our-schools/idea-mesa-hills,Charter school,school_k12,"your back-to-school events, family nights and end-of-year celebrations","los eventos de regreso a clases, noches familiares y celebraciones de fin de año"
The Cherry Hill School,805 Cherry Hill Ln,El Paso,Texas,(915) 900-1800,http://thecherryhillschool.org/,Private educational institution,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
"Basset Middle School, Ft. Bliss, El paso, TX","Bassett Middle School, 4400 Elm St",El Paso,Texas,(915) 236-6350,http://bassett.episd.org/,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Reyes Elementary School,7440 Northern Pass Dr,El Paso,Texas,(915) 877-1301,http://res.canutillo-isd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Harmony Public Schools West Texas,5250 Fairbanks Dr,El Paso,Texas,(915) 626-5086,https://www.harmonytx.org/schools/west-texas,Public educational institution,school_k12,"your community events, registration drives and outdoor ceremonies","los eventos comunitarios, jornadas de inscripción y ceremonias al aire libre"
Dolphin Terrace Elementary,9790 Pickerel Dr,El Paso,Texas,(915) 434-6500,https://www.yisd.net/dolphinterrace,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Parkland Elementary,6330 Deer Ave,El Paso,Texas,(915) 434-6600,http://www.yisd.net/parklandelementary,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
"William C. ""Nemo"" Herrera Elementary School",350 Coates Dr,El Paso,Texas,(915) 230-5000,https://www.episd.org/herrera,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Guerrero Elementary School,7530 Lakehurst Rd,El Paso,Texas,(915) 236-3075,http://guerrero.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
St. Mark's Elementary School,5005 Love Rd,El Paso,Texas,(915) 581-2032,https://www.stmarksep.com/,Private educational institution,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
Lundy Elementary School,6201 High Ridge Dr Basecamp 1,El Paso,Texas,(915) 230-5075,http://lundy.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Navarrete middle school,3501 Hayes Ave,El Paso,Texas,(915) 236-6350,https://www.episd.org/o/NMS,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Magoffin Middle School,4931 Hercules Ave,El Paso,Texas,(915) 236-0000,http://episd.org/magoffin,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Dr. Green Elementary School,5430 Buckley Dr,El Paso,Texas,(915) 236-3000,https://www.episd.org/o/gres,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
El Paso Academy West,201 W Redd Rd,El Paso,Texas,(915) 845-7997,https://www.elpacademy.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Sunrise Mountain Elementary School,7710 Pandora St,El Paso,Texas,(915) 236-5675,https://www.episd.org/o/smes,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Mountain West Montessori,403 Frontera Rd,El Paso,Texas,(915) 584-5728,https://mwmontessori.com/,Montessori school,school_k12,"your outdoor learning days, family picnics and community open houses","los días de aprendizaje al aire libre, días de campo familiares y open houses comunitarios"
Parkland High School,5932 Quail Ave,El Paso,Texas,(915) 434-6000,http://www.yisd.net/parklandhigh,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Putnam Elementary School,6508 Fiesta Dr,El Paso,Texas,(915) 236-3225,https://www.episd.org/o/pues,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Clendenin Elementary School,2701 Harrison Ave,El Paso,Texas,(915) 236-5300,http://clendenin.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Most Holy Trinity Elementary School,10000 Pheasant Rd,El Paso,Texas,(915) 751-2566,http://www.mhtcrusaders.org/,Private educational institution,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
Canyon Hills Middle School,8930 Eclipse St,El Paso,Texas,(915) 236-6450,,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Don Haskins PK-8 School,500 Mulberry Ave,El Paso,Texas,(915) 236-3400,https://www.episd.org/haskins,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Zach White Elementary School,4256 Roxbury Dr,El Paso,Texas,(915) 236-2700,https://www.episd.org/white,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
University of Texas at El Paso,500 W University Ave,El Paso,Texas,(915) 747-5000,http://www.utep.edu/,Public university,higher_ed,"your orientation, alumni receptions, college fairs and commencement","la orientación, recepciones de exalumnos, ferias universitarias y graduación"
Southwest University,6101 Montana Ave,El Paso,Texas,(915) 778-4001,https://southwestuniversity.edu/,University,higher_ed,"your orientation, alumni receptions, college fairs and commencement","la orientación, recepciones de exalumnos, ferias universitarias y graduación"
El Paso Community College - Transmountain Campus - EPCC TM,9570 Gateway N Blvd,El Paso,Texas,(915) 831-3722,http://epcc.edu/,Community college,higher_ed,"your open houses, registration events and graduation receptions","los open houses, eventos de inscripción y recepciones de graduación"
Western Technical College - Diana Campus,9451 Diana Dr,El Paso,Texas,(800) 225-5984,https://www.westerntech.edu/?utm_source=GMBlisting&utm_medium=Organic,College,higher_ed,"your open houses, registration events and graduation receptions","los open houses, eventos de inscripción y recepciones de graduación"
university of texas at el paso,4815 Alameda Ave,El Paso,Texas,,,College,higher_ed,"your open houses, registration events and graduation receptions","los open houses, eventos de inscripción y recepciones de graduación"
The Fountains of Hope,10540 Kendall St,El Paso,Texas,(915) 401-4723,,Institute of technology,higher_ed,"your open houses, registration events and graduation receptions","los open houses, eventos de inscripción y recepciones de graduación"
Park University at El Paso,1330 Adabel Dr,El Paso,Texas,(915) 591-0286,https://www.park.edu/academics/explore-majors-programs/?location=tx-el-paso,University,higher_ed,"your orientation, alumni receptions, college fairs and commencement","la orientación, recepciones de exalumnos, ferias universitarias y graduación"
The University of Texas at El Paso,3333 N Mesa St,El Paso,Texas,(915) 747-8207,https://www.utep.edu/chs/pt/,University,higher_ed,"your orientation, alumni receptions, college fairs and commencement","la orientación, recepciones de exalumnos, ferias universitarias y graduación"
Howard Payne University,805 Montana Ave,El Paso,Texas,(325) 649-8020,http://www.hputx.edu/elpaso,University,higher_ed,"your orientation, alumni receptions, college fairs and commencement","la orientación, recepciones de exalumnos, ferias universitarias y graduación"
Texas Tech University Health Sciences Center El Paso,5001 El Paso Dr,El Paso,Texas,(915) 215-8000,http://www.elpaso.ttuhsc.edu/,University,higher_ed,"your orientation, alumni receptions, college fairs and commencement","la orientación, recepciones de exalumnos, ferias universitarias y graduación"
LifeReach Campus,7362 Remcon Cir,El Paso,Texas,(252) 342-6322,http://www.lifereachbirth.org/contact.html,University,higher_ed,"your orientation, alumni receptions, college fairs and commencement","la orientación, recepciones de exalumnos, ferias universitarias y graduación"
UTEP,"Remote Parking-2, 2522 Sun Bowl Dr",El Paso,Texas,,http://www.utep.edu/,Educational institution,school_k12,"your community events, registration drives and outdoor ceremonies","los eventos comunitarios, jornadas de inscripción y ceremonias al aire libre"
University Presbyterian Church,244 Resler Dr,El Paso,Texas,(915) 584-5822,http://www.upcelp.org/,Presbyterian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Pima Medical Institute - El Paso,6926 Gtwy Blvd E,El Paso,Texas,(800) 477-7462,https://pmi.edu/locations/texas/el-paso/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite&utm_content=elpaso,University,higher_ed,"your orientation, alumni receptions, college fairs and commencement","la orientación, recepciones de exalumnos, ferias universitarias y graduación"
Irvin High School,5400 Sanders Ave,El Paso,Texas,(915) 236-4600,http://irvin.episd.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Western Hills Academy,524 Thunderbird Dr,El Paso,Texas,(915) 584-6642,http://westernhillsacademy.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Brown Middle School,7820 Helen of Troy Dr,El Paso,Texas,(915) 236-0900,http://brown.episd.org/,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Desert Bloom Montessori School,8001 Magnetic St,El Paso,Texas,(915) 248-6885,http://desertbloommontessorischool.com/,Montessori school,school_k12,"your outdoor learning days, family picnics and community open houses","los días de aprendizaje al aire libre, días de campo familiares y open houses comunitarios"
Hornedo Middle School,6101 High Ridge Dr,El Paso,Texas,(915) 236-3300,https://www.episd.org/hornedo,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Casa de Colores Montessori,4539 Emory Rd,El Paso,Texas,(915) 300-2100,http://casadecoloresmontessori.com/,Montessori school,school_k12,"your outdoor learning days, family picnics and community open houses","los días de aprendizaje al aire libre, días de campo familiares y open houses comunitarios"
Desertaire Elementary School,6301 Tiger Eye Dr,El Paso,Texas,(915) 434-6400,http://www.yisd.net/desertaire,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Coronado High School,100 Champions Pl,El Paso,Texas,(915) 236-2000,http://coronado.episd.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Howard Burnham Elementary,7310 Bishop Flores Dr,El Paso,Texas,(915) 584-9499,http://burnhamwood.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Coach Archie Duran Elementary School,5249 Bastille Ave,El Paso,Texas,(915) 236-5525,https://www.episd.org/duran,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
St. Mark's Middle School,5257 Charl Ann St,El Paso,Texas,(915) 581-2032,https://www.stmarksep.com/,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Northwest Early College High School,6701 S Desert Blvd,El Paso,Texas,(915) 877-1701,http://nwechs.canutillo-isd.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Parkland Middle School,6045 Nova Way,El Paso,Texas,(915) 434-6300,http://parklandmiddle.yisd.net/,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Palm Tree Academy,143 Paragon Ln,El Paso,Texas,(915) 229-2190,http://www.palmtreeacademy.net/,Religious school,school_k12,"your school masses, family events, fundraisers and graduations","las misas escolares, eventos familiares, recaudaciones y graduaciones"
Bobby Joe Hill PK-8 School,4835 Tropicana Ave,El Paso,Texas,(915) 236-5375,https://www.episd.org/hill,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Kohlberg Elementary School,1445 Nardo Goodman Dr,El Paso,Texas,(915) 236-2850,https://www.episd.org/kohlberg,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Andress High School,5400 Sun Valley Dr,El Paso,Texas,(915) 236-4000,https://www.episd.org/o/ahs,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Escuela Montessori Del Valle,212 W Sunset Rd,El Paso,Texas,(915) 584-9215,http://www.epmontessorischools.com/,Montessori school,school_k12,"your outdoor learning days, family picnics and community open houses","los días de aprendizaje al aire libre, días de campo familiares y open houses comunitarios"
El Paso Community College - Northwest Campus - EPCC NW,6701 S Desert Blvd,El Paso,Texas,(915) 831-3722,http://epcc.edu/,Community college,higher_ed,"your open houses, registration events and graduation receptions","los open houses, eventos de inscripción y recepciones de graduación"
El Paso Medical Assistant School,6801 N Mesa St Suite B-3,El Paso,Texas,(915) 221-7096,https://elpasomedicalassistant.com/,Trade school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
Franklin High School,900 Resler Dr,El Paso,Texas,(915) 236-2200,https://www.episd.org/franklin,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Da Vinci School for Science and the Arts,785 Southwestern Dr,El Paso,Texas,(915) 584-4024,http://www.burnhamwood.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Coronado Montessori,7011 Westwind Dr,El Paso,Texas,(915) 584-5073,http://www.epmontessorischools.com/,Montessori school,school_k12,"your outdoor learning days, family picnics and community open houses","los días de aprendizaje al aire libre, días de campo familiares y open houses comunitarios"
Canutillo High School,6675 S Desert Blvd,El Paso,Texas,(915) 877-7801,http://chs.canutillo-isd.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Premier High School - El Paso (Mesa),1035 Belvidere St #116,El Paso,Texas,(915) 581-4300,https://premierhighschools.com/el-paso-mesa/,Charter school,school_k12,"your back-to-school events, family nights and end-of-year celebrations","los eventos de regreso a clases, noches familiares y celebraciones de fin de año"
Chapin High School,7000 Dyer St,El Paso,Texas,(915) 236-4400,http://chapin.episd.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Charles Middle School,4909 Trojan Dr,El Paso,Texas,(915) 236-6550,http://charles.episd.org/,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
William Wallace Smith Bliss El,,Fort Bliss,Texas,,,Primary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
The Bandu Montessori Academy,1057 Doniphan Park Cir Suite E,El Paso,Texas,(915) 702-0218,http://www.banduacademy.com/,Montessori school,school_k12,"your outdoor learning days, family picnics and community open houses","los días de aprendizaje al aire libre, días de campo familiares y open houses comunitarios"
Montessori Learning Center,244 N Resler Dr,El Paso,Texas,(915) 587-4652,http://www.montessorilearningcenterelpaso.com/,Preschool,school_k12,"your family days, parent appreciation events and Pre-K graduation","los días familiares, eventos de agradecimiento a padres y la graduación de Pre-K"
Keystone Christian School West,1345 New Harvest Pl,El Paso,Texas,(915) 229-0123,https://keystonechristianschools.org/,General education school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Charles Murphree School,499 Cabaret Dr,El Paso,Texas,(915) 236-3925,https://www.episd.org/murphree,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
School,700 Dyer St,El Paso,Texas,,,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Crystal Escuela Montessori,5446 N Mesa St,El Paso,Texas,(915) 726-0719,,Montessori school,school_k12,"your outdoor learning days, family picnics and community open houses","los días de aprendizaje al aire libre, días de campo familiares y open houses comunitarios"
St Matthew Catholic School,400 W Sunset Rd,El Paso,Texas,(915) 581-8801,http://www.stmatthewelpaso.org/,Catholic school,school_k12,"your school masses, family events, fundraisers and graduations","las misas escolares, eventos familiares, recaudaciones y graduaciones"
School-Educational Enrichment,7310 Bishop Flores Dr,El Paso,Texas,(915) 584-9499,,General education school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Ascension Lutheran Day School,6520 Loma De Cristo Dr,El Paso,Texas,(915) 833-4849,https://alconnect.faith/preschool/,Preschool,school_k12,"your family days, parent appreciation events and Pre-K graduation","los días familiares, eventos de agradecimiento a padres y la graduación de Pre-K"
Harmony School Of Innovation Middle/High,10405 Dyer St,El Paso,Texas,(915) 800-1162,https://hsielpasohs.harmonytx.org/,Charter school,school_k12,"your back-to-school events, family nights and end-of-year celebrations","los eventos de regreso a clases, noches familiares y celebraciones de fin de año"
Northeast Christian Academy,9901 McCombs St,El Paso,Texas,(915) 755-1155,http://www.northeastcrusaders.com/,Private educational institution,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
Parkland Pre K,9790 Pickerel Dr,El Paso,Texas,(915) 435-7800,http://parklandprek.yisd.net/,Preschool,school_k12,"your family days, parent appreciation events and Pre-K graduation","los días familiares, eventos de agradecimiento a padres y la graduación de Pre-K"
Every Little Blessing,7930 N Mesa St,El Paso,Texas,(915) 875-0510,https://everylittleblessing.org/,Special education school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Franklin Magnet Center,825 E Redd Rd,El Paso,Texas,(915) 236-2400,http://episd.org/,K-12 school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
School,Hayes Ave,El Paso,Texas,,,Educational institution,school_k12,"your community events, registration drives and outdoor ceremonies","los eventos comunitarios, jornadas de inscripción y ceremonias al aire libre"
Lutheran Pre-School,9301 Diana Dr,El Paso,Texas,,,Preschool,school_k12,"your family days, parent appreciation events and Pre-K graduation","los días familiares, eventos de agradecimiento a padres y la graduación de Pre-K"
Emerald Nursing School,4936 Hondo Pass Dr,El Paso,Texas,(915) 751-3378,https://www.ens-elp.com/,Nursing school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
Lee Ross Capshaw Fine Arts Center at Coronado High School,Cloudview Dr,El Paso,Texas,,,Educational institution,school_k12,"your community events, registration drives and outdoor ceremonies","los eventos comunitarios, jornadas de inscripción y ceremonias al aire libre"
Southwest Barber Institute,8500 Dyer St,El Paso,Texas,(915) 257-1415,http://swbi.info/,Barber school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
Desert Moon Music Academy El Paso,5782 N Mesa St,El Paso,Texas,(915) 845-7015,https://desertmoonacademy.com/,Music school,sports,"your recitals, student showcases and outdoor performances","los recitales, presentaciones de alumnos y muestras al aire libre"
Let There Be Rock School,3945 Doniphan Park Cir,El Paso,Texas,(915) 307-4883,http://www.letthereberockep.com/,Music school,sports,"your recitals, student showcases and outdoor performances","los recitales, presentaciones de alumnos y muestras al aire libre"
Jungle Driving School,"750 Sunland Park Dr # Vc13, suite ho6a",El Paso,TX,(915) 900-4943,https://jungledriving.com/tx/el-paso-west/?utm_source=google&utm_medium=GBP&utm_campaign=LSH,Driving school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
Peace Lutheran Preschool & Daycare,595 Belvidere St,El Paso,Texas,(915) 581-5525,https://www.peacelutheranpreschoolelp.org/,Preschool,school_k12,"your family days, parent appreciation events and Pre-K graduation","los días familiares, eventos de agradecimiento a padres y la graduación de Pre-K"
