title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categories/12,categories/13,categories/14,categories/15,categories/16,categories/17,categories/18,categories/19,categories/20,categories/21,categories/22,url,categoryName
Revolution Emanuel Ministries Inc.,5,5,1722 Banker Rd,Canutillo,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Revolution%20Emanuel%20Ministries%20Inc.&query_place_id=ChIJqd0Y4cX_3YYR7gd_DxPdvCA,Church
Abundant Church,4.7,368,7100 N Desert Blvd,El Paso,Texas,US,http://www.abundant.org/,(915) 532-8543,Church,Religious organization,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Abundant%20Church&query_place_id=ChIJo4nuY9X-3YYR8YBY1uraVMY,Church
Stanton Elementary School,,,5414 Hondo Pass Dr,El Paso,Texas,US,https://www.episd.org/stanton,(915) 236-6125,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Stanton%20Elementary%20School&query_place_id=ChIJCUJ_NR9R54YRD5bxsGQjbEQ,Elementary school
Bliss Elementary School,,,4401 Sheridan Rd # 2038,El Paso,Texas,US,http://bliss.episd.org/,(915) 236-5150,Elementary school,Primary school,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bliss%20Elementary%20School&query_place_id=ChIJC7EZvqpQ54YRHhXnwmfGCq8,Elementary school
Newman Elementary School,,,10275 Alcan St,El Paso,Texas,US,http://newman.episd.org/,(915) 236-5825,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Newman%20Elementary%20School&query_place_id=ChIJ50WSYd9T54YRNnFApri4Vu4,Elementary school
Moye Elementary School,,,4825 Alps Dr,El Paso,Texas,US,http://moye.episd.org/,(915) 230-5300,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Moye%20Elementary%20School&query_place_id=ChIJc-UpUChR54YRBvTGcBkjiLI,Elementary school
Harmony School Of Innovation - El Paso Elementary,,,5210 Fairbanks Dr,El Paso,Texas,US,https://hsielpaso.harmonytx.org/,(915) 757-2929,Elementary school,Charter school,Educational institution,High school,Preschool,Public educational institution,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Harmony%20School%20Of%20Innovation%20-%20El%20Paso%20Elementary&query_place_id=ChIJvRLwKFxR54YRIJV1lY0f46c,Elementary school
Travis Elementary School,,,5000 N Stevens St,El Paso,Texas,US,http://travis.episd.org/,(915) 236-6200,Elementary school,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Travis%20Elementary%20School&query_place_id=ChIJJ2wU2VZX54YRO_ATEejBl9k,Elementary school
J.M. Whitaker Elementary School,,,4700 Rutherford Dr,El Paso,Texas,US,http://whitaker.episd.org/,(915) 236-6275,Elementary school,Kindergarten,Middle school,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=J.M.%20Whitaker%20Elementary%20School&query_place_id=ChIJY4YwozFR54YRDwRdHEzHWw0,Elementary school
Logan Elementary School,,,3200 Ellerthorpe Ave,El Paso,Texas,US,http://logan.episd.org/,(915) 236-5750,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Logan%20Elementary%20School&query_place_id=ChIJhaFf-MlQ54YRyPHwXUdBfPc,Elementary school
Edgar Park Elementary School,,,3601 Edgar Park Ave,El Paso,Texas,US,http://park.episd.org/,(915) 236-5975,Elementary school,Public educational institution,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Edgar%20Park%20Elementary%20School&query_place_id=ChIJ0cYalihX54YRXaE6kojjHCU,Elementary school
Polk Elementary School,,,940 Belvidere St,El Paso,Texas,US,https://www.episd.org/polk,(915) 236-2775,Elementary school,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Polk%20Elementary%20School&query_place_id=ChIJ31RZ74b43YYR2DSGiUdNzFI,Elementary school
Tippin Elementary School,,,6541 Bear Ridge Dr,El Paso,Texas,US,https://www.episd.org/o/tes,(915) 230-5150,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Tippin%20Elementary%20School&query_place_id=ChIJtwmepKP43YYRzcpdPNQligY,Elementary school
Carlos Rivera Elementary School,,,6445 Escondido Dr,El Paso,Texas,US,http://rivera.episd.org/,(915) 236-3700,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Carlos%20Rivera%20Elementary%20School&query_place_id=ChIJFWBG-NVX54YRjGt0H4r-1j0,Elementary school
Dr. Joseph Torres Elementary School,,,10700 Rushing Rd,El Paso,Texas,US,https://www.episd.org/torres,(915) 236-5225,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr.%20Joseph%20Torres%20Elementary%20School&query_place_id=ChIJ2ee4O-pT54YRmwhKV3dHutQ,Elementary school
Western Hills Elementary School,,,530 Thunderbird Dr,El Paso,Texas,US,http://westernhills.episd.org/,(915) 236-3850,Elementary school,Middle school,School,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Western%20Hills%20Elementary%20School&query_place_id=ChIJeTGw1s9X54YRGQIajazTyOU,Elementary school
Transmountain Early College High School,,,9570 Gateway Blvd N,El Paso,Texas,US,https://www.episd.org/tmechs,(915) 236-5000,High school,College,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Transmountain%20Early%20College%20High%20School&query_place_id=ChIJ46lwtUpR54YROlu6kB1ZBT4,High school
IDEA Mesa Hills,,,405 Wallenberg Dr,El Paso,Texas,US,https://ideapublicschools.org/our-schools/idea-mesa-hills,(915) 888-4050,Charter school,Elementary school,High school,Middle school,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=IDEA%20Mesa%20Hills&query_place_id=ChIJu5Y_MNJX54YRn68z0drurRQ,Charter school
The Cherry Hill School,,,805 Cherry Hill Ln,El Paso,Texas,US,http://thecherryhillschool.org/,(915) 900-1800,Private educational institution,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Cherry%20Hill%20School&query_place_id=ChIJVVlxUM5X54YReGZZj53o-H0,Private educational institution
"Basset Middle School, Ft. Bliss, El paso, TX",,,"Bassett Middle School, 4400 Elm St",El Paso,Texas,US,http://bassett.episd.org/,(915) 236-6350,Middle school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Basset%20Middle%20School%2C%20Ft.%20Bliss%2C%20El%20paso%2C%20TX&query_place_id=ChIJWdPg419X54YRkRCRbllC80o,Middle school
Reyes Elementary School,,,7440 Northern Pass Dr,El Paso,Texas,US,http://res.canutillo-isd.org/,(915) 877-1301,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Reyes%20Elementary%20School&query_place_id=ChIJdxXi78r43YYRlyNDizigQzA,Elementary school
Harmony Public Schools West Texas,,,5250 Fairbanks Dr,El Paso,Texas,US,https://www.harmonytx.org/schools/west-texas,(915) 626-5086,Public educational institution,Association / Organization,Charter school,Educational institution,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Harmony%20Public%20Schools%20West%20Texas&query_place_id=ChIJl3x4uZ9E54YRjkt1f_o8sAQ,Public educational institution
Dolphin Terrace Elementary,,,9790 Pickerel Dr,El Paso,Texas,US,https://www.yisd.net/dolphinterrace,(915) 434-6500,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dolphin%20Terrace%20Elementary&query_place_id=ChIJAaDXYHJR54YRXBda36B3D48,Elementary school
Parkland Elementary,,,6330 Deer Ave,El Paso,Texas,US,http://www.yisd.net/parklandelementary,(915) 434-6600,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Parkland%20Elementary&query_place_id=ChIJLavAIntR54YRSpRFRcUmQK0,Elementary school
"William C. ""Nemo"" Herrera Elementary School",,,350 Coates Dr,El Paso,Texas,US,https://www.episd.org/herrera,(915) 230-5000,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=William%20C.%20%22Nemo%22%20Herrera%20Elementary%20School&query_place_id=ChIJwa2R_iD53YYRlAISU-dAP0I,Elementary school
Guerrero Elementary School,,,7530 Lakehurst Rd,El Paso,Texas,US,http://guerrero.episd.org/,(915) 236-3075,Elementary school,Kindergarten,Middle school,Preschool,School district office,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Guerrero%20Elementary%20School&query_place_id=ChIJY9LEJ_L43YYRiU_C4EGqzmM,Elementary school
St. Mark's Elementary School,,,5005 Love Rd,El Paso,Texas,US,https://www.stmarksep.com/,(915) 581-2032,Private educational institution,Religious school,School,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=St.%20Mark's%20Elementary%20School&query_place_id=ChIJj0PJRar53YYRr38_V16qemE,Private educational institution
Lundy Elementary School,,,6201 High Ridge Dr Basecamp 1,El Paso,Texas,US,http://lundy.episd.org/,(915) 230-5075,Elementary school,After school program,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Lundy%20Elementary%20School&query_place_id=ChIJIQFxrCJW54YRP0eVT4A_gKw,Elementary school
Navarrete middle school,,,3501 Hayes Ave,El Paso,Texas,US,https://www.episd.org/o/NMS,(915) 236-6350,Middle school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Navarrete%20middle%20school&query_place_id=ChIJPduhA6xb54YRRu5Gxw2wiSg,Middle school
Magoffin Middle School,,,4931 Hercules Ave,El Paso,Texas,US,http://episd.org/magoffin,(915) 236-0000,Middle school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Magoffin%20Middle%20School&query_place_id=ChIJhyAQVtpQ54YRZYuUgScUSSA,Middle school
Dr. Green Elementary School,,,5430 Buckley Dr,El Paso,Texas,US,https://www.episd.org/o/gres,(915) 236-3000,Elementary school,Middle school,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr.%20Green%20Elementary%20School&query_place_id=ChIJF_WoxuxX54YRutaGKrKv2-8,Elementary school
El Paso Academy West,,,201 W Redd Rd,El Paso,Texas,US,https://www.elpacademy.org/,(915) 845-7997,High school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Paso%20Academy%20West&query_place_id=ChIJd0yjCBn53YYRTUPOpgwHsNY,High school
Sunrise Mountain Elementary School,,,7710 Pandora St,El Paso,Texas,US,https://www.episd.org/o/smes,(915) 236-5675,Elementary school,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sunrise%20Mountain%20Elementary%20School&query_place_id=ChIJaav5udpR54YRbbCkvGdcpxM,Elementary school
Mountain West Montessori,,,403 Frontera Rd,El Paso,Texas,US,https://mwmontessori.com/,(915) 584-5728,Montessori school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mountain%20West%20Montessori&query_place_id=ChIJOffJbjr43YYRWAxvKa0HmYM,Montessori school
Parkland High School,,,5932 Quail Ave,El Paso,Texas,US,http://www.yisd.net/parklandhigh,(915) 434-6000,High school,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Parkland%20High%20School&query_place_id=ChIJMa7_I3tR54YRibq91QPm7jI,High school
Putnam Elementary School,,,6508 Fiesta Dr,El Paso,Texas,US,https://www.episd.org/o/pues,(915) 236-3225,Elementary school,Bilingual school,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Putnam%20Elementary%20School&query_place_id=ChIJB76gJnT43YYROGlT4nAopFo,Elementary school
Clendenin Elementary School,,,2701 Harrison Ave,El Paso,Texas,US,http://clendenin.episd.org/,(915) 236-5300,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Clendenin%20Elementary%20School&query_place_id=ChIJR-6BAuBZ54YRb6Z0DJc1agU,Elementary school
Most Holy Trinity Elementary School,,,10000 Pheasant Rd,El Paso,Texas,US,http://www.mhtcrusaders.org/,(915) 751-2566,Private educational institution,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Most%20Holy%20Trinity%20Elementary%20School&query_place_id=ChIJ1WCcS2VR54YROrAmqINPApo,Private educational institution
Canyon Hills Middle School,,,8930 Eclipse St,El Paso,Texas,US,,(915) 236-6450,Middle school,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Canyon%20Hills%20Middle%20School&query_place_id=ChIJe7qbKtFW54YRAEgdCxm8Ap0,Middle school
Don Haskins PK-8 School,,,500 Mulberry Ave,El Paso,Texas,US,https://www.episd.org/haskins,(915) 236-3400,Middle school,Primary school,School,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Don%20Haskins%20PK-8%20School&query_place_id=ChIJH2NpqGL53YYRwOsdLXlgMBg,Middle school
Zach White Elementary School,,,4256 Roxbury Dr,El Paso,Texas,US,https://www.episd.org/white,(915) 236-2700,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Zach%20White%20Elementary%20School&query_place_id=ChIJL8tDkjf43YYRkl8p9GXRS9I,Elementary school
University of Texas at El Paso,4.2,435,500 W University Ave,El Paso,Texas,US,http://www.utep.edu/,(915) 747-5000,Public university,University,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=University%20of%20Texas%20at%20El%20Paso&query_place_id=ChIJ12KA7lpY54YRvOw3ZC-V-tE,Public university
Southwest University,4.7,1822,6101 Montana Ave,El Paso,Texas,US,https://southwestuniversity.edu/,(915) 778-4001,University,Adult education school,Business school,College,Nursing school,Technical school,Trade school,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Southwest%20University&query_place_id=ChIJn5KGL0Za54YRUf3X6M3p3Mg,University
El Paso Community College - Transmountain Campus - EPCC TM,3.6,93,9570 Gateway N Blvd,El Paso,Texas,US,http://epcc.edu/,(915) 831-3722,Community college,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Paso%20Community%20College%20-%20Transmountain%20Campus%20-%20EPCC%20TM&query_place_id=ChIJcw1IrUtR54YRWRbejhEYKbY,Community college
Western Technical College - Diana Campus,4.2,150,9451 Diana Dr,El Paso,Texas,US,https://www.westerntech.edu/?utm_source=GMBlisting&utm_medium=Organic,(800) 225-5984,College,Adult education school,Technical school,Trade school,Training center,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Western%20Technical%20College%20-%20Diana%20Campus&query_place_id=ChIJ64MdTjpR54YR71q0RTH5HVU,College
university of texas at el paso,,,4815 Alameda Ave,El Paso,Texas,US,,,College,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=university%20of%20texas%20at%20el%20paso&query_place_id=ChIJxwb6VABb54YR1xzHzYQfzMI,College
The Fountains of Hope,5,1,10540 Kendall St,El Paso,Texas,US,,(915) 401-4723,Institute of technology,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Fountains%20of%20Hope&query_place_id=ChIJzcYIvpJT54YRdPjNv94Dsqw,Institute of technology
Park University at El Paso,4.4,12,1330 Adabel Dr,El Paso,Texas,US,https://www.park.edu/academics/explore-majors-programs/?location=tx-el-paso,(915) 591-0286,University,College,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Park%20University%20at%20El%20Paso&query_place_id=ChIJe11tG3JD54YRQMV5VIeDN9w,University
The University of Texas at El Paso,,,3333 N Mesa St,El Paso,Texas,US,https://www.utep.edu/chs/pt/,(915) 747-8207,University,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20University%20of%20Texas%20at%20El%20Paso&query_place_id=ChIJzfwroGBZ54YRS12-p-Vvg9U,University
Howard Payne University,4.6,5,805 Montana Ave,El Paso,Texas,US,http://www.hputx.edu/elpaso,(325) 649-8020,University,College,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Howard%20Payne%20University&query_place_id=ChIJ3-h1Sxlb54YRB3_2DfaIsj8,University
Texas Tech University Health Sciences Center El Paso,4.1,45,5001 El Paso Dr,El Paso,Texas,US,http://www.elpaso.ttuhsc.edu/,(915) 215-8000,University,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Texas%20Tech%20University%20Health%20Sciences%20Center%20El%20Paso&query_place_id=ChIJ3_KUadNb54YRX0Li3IteRS8,University
LifeReach Campus,,,7362 Remcon Cir,El Paso,Texas,US,http://www.lifereachbirth.org/contact.html,(252) 342-6322,University,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=LifeReach%20Campus&query_place_id=ChIJq6q6GVz43YYRC3xk95bCB4c,University
UTEP,4.5,38,"Remote Parking-2, 2522 Sun Bowl Dr",El Paso,Texas,US,http://www.utep.edu/,,Educational institution,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=UTEP&query_place_id=ChIJNbHagV5Y54YRdH0kNQozhQ4,Educational institution
University Presbyterian Church,4.9,15,244 Resler Dr,El Paso,Texas,US,http://www.upcelp.org/,(915) 584-5822,Presbyterian church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=University%20Presbyterian%20Church&query_place_id=ChIJNzANlmT43YYRisTfYzM9dL8,Presbyterian church
Pima Medical Institute - El Paso,4.7,856,6926 Gtwy Blvd E,El Paso,Texas,US,https://pmi.edu/locations/texas/el-paso/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite&utm_content=elpaso,(800) 477-7462,University,Adult education school,Community college,Educational institution,Medical school,Private university,Technical school,Trade school,College,Vocational school,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Pima%20Medical%20Institute%20-%20El%20Paso&query_place_id=ChIJ1eh7J1xD54YRGESkaj-aU9c,University
University Medical Center of El Paso,3.2,1014,4815 Alameda Ave,El Paso,Texas,US,https://www.umcelpaso.org/,(915) 544-1200,University hospital,Medical Center,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=University%20Medical%20Center%20of%20El%20Paso&query_place_id=ChIJg1Eka9Nb54YRtLaD5QRJPKc,University hospital
Irvin High School,,,5400 Sanders Ave,El Paso,Texas,US,http://irvin.episd.org/,(915) 236-4600,High school,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Irvin%20High%20School&query_place_id=ChIJKzvITBZR54YRKCQHHt9xAAE,High school
Western Hills Academy,,,524 Thunderbird Dr,El Paso,Texas,US,http://westernhillsacademy.org/,(915) 584-6642,Elementary school,Kindergarten,Preschool,Private educational institution,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Western%20Hills%20Academy&query_place_id=ChIJxd8estpX54YRArBnnRXq970,Elementary school
Brown Middle School,,,7820 Helen of Troy Dr,El Paso,Texas,US,http://brown.episd.org/,(915) 236-0900,Middle school,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Brown%20Middle%20School&query_place_id=ChIJgcu4z9n43YYRMMU86xpME70,Middle school
Desert Bloom Montessori School,,,8001 Magnetic St,El Paso,Texas,US,http://desertbloommontessorischool.com/,(915) 248-6885,Montessori school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Desert%20Bloom%20Montessori%20School&query_place_id=ChIJ5YEUP-xX54YRXBk9lL5Cax0,Montessori school
Hornedo Middle School,,,6101 High Ridge Dr,El Paso,Texas,US,https://www.episd.org/hornedo,(915) 236-3300,Middle school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Hornedo%20Middle%20School&query_place_id=ChIJIyZZd5T43YYRVVrdicG-AGs,Middle school
Casa de Colores Montessori,,,4539 Emory Rd,El Paso,Texas,US,http://casadecoloresmontessori.com/,(915) 300-2100,Montessori school,Middle school,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Casa%20de%20Colores%20Montessori&query_place_id=ChIJazJXWoH43YYRWMXMO5LvLs8,Montessori school
Desertaire Elementary School,,,6301 Tiger Eye Dr,El Paso,Texas,US,http://www.yisd.net/desertaire,(915) 434-6400,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Desertaire%20Elementary%20School&query_place_id=ChIJLfzDRjJS54YRVBrnspYqj50,Elementary school
Coronado High School,,,100 Champions Pl,El Paso,Texas,US,http://coronado.episd.org/,(915) 236-2000,High school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coronado%20High%20School&query_place_id=ChIJCSIuemX43YYRLsCiz_uiGcQ,High school
Howard Burnham Elementary,,,7310 Bishop Flores Dr,El Paso,Texas,US,http://burnhamwood.org/,(915) 584-9499,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Howard%20Burnham%20Elementary&query_place_id=ChIJkeHFVu343YYRxX7ui51GlHk,Elementary school
Coach Archie Duran Elementary School,,,5249 Bastille Ave,El Paso,Texas,US,https://www.episd.org/duran,(915) 236-5525,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Coach%20Archie%20Duran%20Elementary%20School&query_place_id=ChIJkUJkL0ZR54YRfQSmHYnG17Q,Elementary school
St. Mark's Middle School,,,5257 Charl Ann St,El Paso,Texas,US,https://www.stmarksep.com/,(915) 581-2032,Middle school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=St.%20Mark's%20Middle%20School&query_place_id=ChIJdYEAcSz53YYRhX1a0htTgrQ,Middle school
Northwest Early College High School,,,6701 S Desert Blvd,El Paso,Texas,US,http://nwechs.canutillo-isd.org/,(915) 877-1701,High school,Community health center,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Northwest%20Early%20College%20High%20School&query_place_id=ChIJafRKQtj-3YYRPQv-LlRUOc8,High school
Parkland Middle School,,,6045 Nova Way,El Paso,Texas,US,http://parklandmiddle.yisd.net/,(915) 434-6300,Middle school,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Parkland%20Middle%20School&query_place_id=ChIJSZcBInFR54YR-A7MBxywJhY,Middle school
Palm Tree Academy,,,143 Paragon Ln,El Paso,Texas,US,http://www.palmtreeacademy.net/,(915) 229-2190,Religious school,Elementary school,Middle school,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Palm%20Tree%20Academy&query_place_id=ChIJVVVFqfJX54YRiYZKmJ1S_3s,Religious school
Bobby Joe Hill PK-8 School,,,4835 Tropicana Ave,El Paso,Texas,US,https://www.episd.org/hill,(915) 236-5375,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bobby%20Joe%20Hill%20PK-8%20School&query_place_id=ChIJ0fFYaGVR54YRBD5J0plrFGI,Elementary school
Kohlberg Elementary School,,,1445 Nardo Goodman Dr,El Paso,Texas,US,https://www.episd.org/kohlberg,(915) 236-2850,Elementary school,Social services organization,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kohlberg%20Elementary%20School&query_place_id=ChIJvW7mHsf43YYRPOciYmKn_ic,Elementary school
